; ======================================================== LFRN AVISO ========================================================

[GEO]

LFRN AVISO N048.04.22.557 W001.43.17.632 N048.04.20.289 W001.43.22.514 COLOR_Taxiway
N048.04.20.096 W001.44.11.912
N048.04.19.766 W001.44.11.217
N048.04.17.090 W001.44.08.464
N048.04.17.460 W001.44.07.502
N048.04.17.576 W001.44.07.537
N048.04.17.820 W001.44.07.557
N048.04.18.125 W001.44.07.512
N048.04.18.362 W001.44.07.408
N048.04.18.614 W001.44.07.201
N048.04.18.820 W001.44.06.971
N048.04.19.026 W001.44.06.629
N048.04.19.206 W001.44.06.287
N048.04.19.277 W001.44.06.049
N048.04.19.332 W001.44.05.549
N048.04.19.354 W001.44.05.058
N048.04.19.339 W001.44.04.672
N048.04.17.656 W001.43.51.294
N048.04.17.594 W001.43.51.143
N048.04.17.481 W001.43.50.946
N048.04.17.342 W001.43.50.808
N048.04.17.216 W001.43.50.780
N048.04.15.349 W001.43.51.238
N048.04.15.306 W001.43.50.874
N048.04.17.107 W001.43.50.456
N048.04.17.205 W001.43.50.420
N048.04.17.286 W001.43.50.339
N048.04.17.357 W001.43.50.197
N048.04.17.414 W001.43.49.981
N048.04.17.448 W001.43.49.659
N048.04.14.623 W001.43.27.263
N048.04.14.535 W001.43.26.986
N048.04.14.441 W001.43.26.777
N048.04.14.301 W001.43.26.590
N048.04.14.122 W001.43.26.481
N048.04.14.001 W001.43.26.441
N048.04.13.616 W001.43.26.513
N048.04.13.525 W001.43.26.552
N048.04.12.373 W001.43.27.542
N048.04.12.079 W001.43.26.756
N048.04.13.435 W001.43.25.631
N048.04.13.823 W001.43.25.258
N048.04.13.977 W001.43.25.072
N048.04.14.096 W001.43.24.856
N048.04.14.166 W001.43.24.603
N048.04.14.201 W001.43.24.277
N048.04.14.200 W001.43.23.960
N048.04.13.520 W001.43.18.611
N048.04.13.419 W001.43.18.259
N048.04.13.281 W001.43.17.885
N048.04.13.054 W001.43.17.557
N048.04.12.755 W001.43.17.334
N048.04.12.487 W001.43.17.216
N048.04.12.004 W001.43.17.177
N048.04.11.672 W001.43.17.211
N048.04.11.458 W001.43.17.281
N048.04.11.245 W001.43.17.389
N048.04.11.097 W001.43.17.477
N048.04.10.911 W001.43.16.067
N048.04.11.733 W001.43.15.653
N048.04.11.958 W001.43.15.515
N048.04.12.181 W001.43.15.349
N048.04.12.429 W001.43.15.125
N048.04.12.624 W001.43.14.797
N048.04.12.770 W001.43.14.421
N048.04.12.852 W001.43.14.031
N048.04.12.865 W001.43.13.397
N048.04.11.996 W001.43.06.276

REGIONNAME LFRN AVISO
COLOR_RunwayConcrete N048.03.50.249 W001.43.59.910
N048.03.53.177 W001.44.03.290
N048.03.53.392 W001.44.03.526
N048.03.53.582 W001.44.03.577
N048.03.53.764 W001.44.03.519
N048.03.53.978 W001.44.03.288
N048.03.55.854 W001.44.00.480
N048.03.56.086 W001.44.00.815
N048.03.54.263 W001.44.03.632
